paper_id,titulo,doi,anio,citado_por,estado,ruta_pdf,notas
43,Stable shortest horizon FCS-MPC output voltage control in non-minimum phase boost-type converters based on input-state linearization,10.1109/tec.2021.3055733,2021,55,descargado,data/pdfs/43.pdf,
44,A systematic controller-design approach for neutral-point-clamped three-level inverters,10.1109/tie.2005.858719,2005,54,descargado,data/pdfs/44.pdf,
45,Model predictive control for power converters in a distorted three-phase power supply,10.1109/tie.2016.2527732,2016,53,descargado,data/pdfs/45.pdf,
46,Predictive controller for a three-phase/single-phase voltage source converter cell,10.1109/tii.2014.2332062,2014,53,descargado,data/pdfs/46.pdf,
47,A hybrid FCS-MPC with low and fixed switching frequency without steady-state error applied to a grid-connected CHB inverter,10.1109/access.2020.3044226,2020,52,descargado,data/pdfs/47.pdf,
48,Decoupled and modular harmonic compensation for multilevel STATCOMs,10.1109/tie.2013.2276058,2013,51,descargado,data/pdfs/48.pdf,
50,Stability issues in three-phase PWM current/voltage source rectifiers in the regeneration mode,10.1109/isie.2000.930340,2000,51,descargado,data/pdfs/50.pdf,
51,Performance of a single-stage UPS system for single-phase trapezoidal-shaped AC-voltage supplies,10.1109/63.712309,1998,50,descargado,data/pdfs/51.pdf,
52,Predictive torque control with input PF correction applied to an induction machine fed by a matrix converter,10.1109/pesc.2008.4591888,2008,48,descargado,data/pdfs/52.pdf,
53,Finite-state model predictive control with integral action applied to a single-phase Z-source inverter,10.1109/jestpe.2018.2870985,2018,47,descargado,data/pdfs/53.pdf,
54,Improving power quality in cascade multilevel converters based on single-phase nonregenerative power cells,10.1109/tie.2013.2289866,2013,47,descargado,data/pdfs/54.pdf,
55,A simple current control strategy for a four-leg indirect matrix converter,10.1109/tpel.2014.2321562,2014,46,descargado,data/pdfs/55.pdf,
56,Topologies for regenerative cascaded multilevel inverters,10.1109/pesc.2003.1218109,2003,45,descargado,data/pdfs/56.pdf,
57,Predictive current control in a current source inverter operating with low switching frequency,10.1109/powereng.2013.6635630,2013,42,descargado,data/pdfs/57.pdf,
58,Predictive load voltage and capacitor balancing control for a four-leg NPC inverter,10.1109/epepemc.2012.6397344,2012,42,descargado,data/pdfs/58.pdf,
59,Behavior of the predictive DTC based matrix converter under unbalanced AC supply,10.1109/07ias.2007.16,2007,42,descargado,data/pdfs/59.pdf,
313,Frequency control improvement in an autonomous power system: An application of virtual synchronous machines,10.1109/icpe.2011.5944413,2011,42,descargado,data/pdfs/313.pdf,
60,Predictive control of source and load currents in a direct matrix converter,10.1109/icit.2010.5472521,2010,41,descargado,data/pdfs/60.pdf,
61,Predictive control of the indirect matrix converter with active damping,10.1109/ipemc.2009.5157674,2009,41,descargado,data/pdfs/61.pdf,
62,Performance evaluation of a multicell topology implemented with single-phase nonregenerative cells under unbalanced supply voltages,10.1109/tie.2007.903977,2007,41,descargado,data/pdfs/62.pdf,
315,Analysis and Design of a Control Strategy for Tracking Sinusoidal References in Single-Phase Grid-Connected Current-Source Inverters,10.1109/tpel.2017.2668379,2018,39,descargado,data/pdfs/315.pdf,
63,Three-phase series var compensation based on a voltage-controlled current source inverter with supplemental modulation index control,10.1109/63.761703,2002,38,descargado,data/pdfs/63.pdf,
64,Predictive torque and flux control of an induction machine fed by an indirect matrix converter with reactive power minimization,10.1109/isie.2010.5637561,2010,36,descargado,data/pdfs/64.pdf,
65,Input current harmonics in a regenerative multicell inverter with single-phase PWM rectifiers,10.1109/tie.2008.2009200,2008,36,descargado,data/pdfs/65.pdf,
66,Operating region of single-phase UPQCs,10.1109/pesc.2005.1581863,2005,36,descargado,data/pdfs/66.pdf,
67,MPC algorithm with reduced computational burden and fixed switching spectrum for a multilevel inverter in a photovoltaic system,10.1109/access.2020.2988627,2020,35,descargado,data/pdfs/67.pdf,
68,Enhanced predictive control for a wide time-variant frequency environment,10.1109/tie.2016.2541625,2016,35,descargado,data/pdfs/68.pdf,
69,Analysis and design of a linear control strategy for three-phase UPQCs,10.1109/iecon.2004.1432300,2004,35,descargado,data/pdfs/69.pdf,
70,Decoupled control of PWM active-front rectifiers using only dc bus sensing,10.1109/ias.2000.883126,2000,35,descargado,data/pdfs/70.pdf,
316,MPC Algorithm With Reduced Computational Burden and Fixed Switching Spectrum for a Multilevel Inverter in a Photovoltaic System,10.1109/access.2020.2988627,2020,35,descargado,data/pdfs/316.pdf,
71,Predictive control of a direct matrix converter operating under an unbalanced ac source,10.1109/isie.2010.5637466,2010,34,descargado,data/pdfs/71.pdf,
72,Self-started voltage-source series-resonant converter for high-power induction heating and melting applications,10.1109/28.673722,1998,33,descargado,data/pdfs/72.pdf,
73,A direct frequency converter controlled by space vectors,10.1109/pesc.1993.471911,1993,33,descargado,data/pdfs/73.pdf,
74,Predictive current control with reactive power minimization in an indirect matrix converter,10.1109/icit.2010.5472527,2010,32,descargado,data/pdfs/74.pdf,
75,Voltage controlled current source inverters,10.1109/tie.2006.888802,1992,32,descargado,data/pdfs/75.pdf,
76,Current control in matrix converters connected to polluted AC voltage supplies,10.1109/pesc.2008.4591964,2008,30,descargado,data/pdfs/76.pdf,
77,A novel multi-level converter based on current source power cell,10.1109/pesc.2008.4592250,2008,29,descargado,data/pdfs/77.pdf,
78,Multiobjective fuzzy predictive torque control of an induction motor drive,10.1109/pedstc.2015.7093274,2015,28,descargado,data/pdfs/78.pdf,
79,A simple self-tuning resonant control approach for power converters connected to micro-grids with distorted voltage conditions,10.1109/access.2020.3041528,2020,27,descargado,data/pdfs/79.pdf,
80,Integration of a large-scale photovoltaic plant using a multilevel converter topology and virtual synchronous generator control,10.1109/isie.2014.6865033,2014,27,descargado,data/pdfs/80.pdf,
81,Predictive control of a current source converter operating with low switching frequency,10.1109/iecon.2012.6388747,2012,27,descargado,data/pdfs/81.pdf,
82,DC link voltage unbalance control in three-phase UPQCs based on NPC topologies,10.1109/07ias.2007.95,2007,27,descargado,data/pdfs/82.pdf,
83,Multi-level three-phase current source inverter based AC drive for high performance applications,10.1109/pesc.2005.1581992,2005,27,descargado,data/pdfs/83.pdf,
84,Practical problems associated with the operation of ASDs based on active front end converters in power distribution systems,10.1109/ias.2004.1348837,2004,27,descargado,data/pdfs/84.pdf,
85,A novel multi-level three-phase UPQC topology based on full-bridge single-phase cells,10.1109/iecon.2007.4459988,2007,26,descargado,data/pdfs/85.pdf,
86,Operating region in active-front-end voltage/current source rectifiers,10.1109/isie.2000.930341,2000,26,descargado,data/pdfs/86.pdf,
88,Reduction of common-mode voltage in an indirect matrix converter with imposed sinusoidal input/output waveforms,10.1109/iecon.2012.6389083,2012,25,descargado,data/pdfs/88.pdf,
89,Predictive control of a current source rectifier with imposed sinusoidal input currents.,10.1109/iecon.2013.6700092,2013,24,descargado,data/pdfs/89.pdf,
90,Predictive torque and flux control of an induction machine fed by an indirect matrix converter,10.1109/icit.2010.5472539,2010,24,descargado,data/pdfs/90.pdf,
91,Predictive control with active damping in a direct matrix converter,10.1109/ecce.2009.5316264,2009,24,descargado,data/pdfs/91.pdf,
92,Decoupled control of a unified power quality conditioner based on a current source topology for fast AC mains disturbance compensation,10.1109/icit.2010.5472711,2010,23,descargado,data/pdfs/92.pdf,
93,Review of current control techniques for a cascaded H-Bridge STATCOM,10.1109/icit.2015.7125554,2015,22,descargado,data/pdfs/93.pdf,
94,Current-source cascaded multilevel converters based on single-phase power cells,10.1109/iecon.2013.6700156,2013,22,descargado,data/pdfs/94.pdf,
95,A multiobjective ranking based finite states model predictive control scheme applied to a direct matrix converter,10.1109/iecon.2010.5675066,2010,22,descargado,data/pdfs/95.pdf,
317,Inverter-based virtual diesel generator for laboratory-scale applications,10.1109/iecon.2010.5675226,2010,22,descargado,data/pdfs/317.pdf,
96,A mixed LQRI/PI based control for three-phase UPQCs,10.1109/iecon.2006.348106,2006,21,descargado,data/pdfs/96.pdf,
97,Fast space vector modulation based on a neurocomputing digital signal processor,10.1109/apec.1997.575748,1997,21,descargado,data/pdfs/97.pdf,
98,Analysis and design of a multicell topology based on three-phase/single-phase current-source cells,10.1109/tpel.2015.2502185,2015,20,descargado,data/pdfs/98.pdf,
99,A simple predictive current control of a single-phase matrix converter,10.1109/powereng.2013.6635612,2013,20,descargado,data/pdfs/99.pdf,
100,Predictive torque control of a multi-drive system fed by a six-leg indirect matrix converter,10.1109/icit.2013.6505919,2013,20,descargado,data/pdfs/100.pdf,
101,A multilevel active front-end rectifier with current harmonic compensation capability,10.1109/iecon.2004.1431791,2004,20,descargado,data/pdfs/101.pdf,
102,A high-performance multicell topology based on single-phase power cells for three-phase systems operating under unbalanced AC mains and asymmetrical loads,10.1109/tie.2009.2036637,2009,19,descargado,data/pdfs/102.pdf,
103,A generalized control scheme for active front-end multilevel converters,10.1109/iecon.2001.975887,2001,19,descargado,data/pdfs/103.pdf,
104,Modelling and implementation of space vector PWM techniques in active filter applications,10.1109/cipe.1996.612350,1996,19,descargado,data/pdfs/104.pdf,
105,Study of the open-source Arduino Due Board as digital control platform for three-phase power converters,10.1109/access.2021.3138705,2021,18,descargado,data/pdfs/105.pdf,
109,Analysis and design of a Cascaded H-Bridge topology based on current-source inverters,10.1109/iecon.2013.6700153,2013,18,descargado,data/pdfs/109.pdf,
110,Static power converter synchronization and control under varying frequency conditions,10.1109/iecon.2012.6388651,2012,18,descargado,data/pdfs/110.pdf,
112,A novel multi-level CSI based topology with inter-cell magnetic couplings for minimum DC storage components,10.1109/isie.2010.5637574,2010,17,descargado,data/pdfs/112.pdf,
113,A novel multi-level topology based on current source power cells for high performance applications,10.1109/icit.2010.5472522,2010,17,descargado,data/pdfs/113.pdf,
114,On-line filtering reactance identification in voltage-source three-phase active-front-end rectifiers,10.1109/iecon.2003.1279978,2003,17,descargado,data/pdfs/114.pdf,
115,DSP implementation of output voltage reconstruction in CSI-based converters,10.1109/41.735333,2002,17,descargado,data/pdfs/115.pdf,
116,An overview of solar energy in Chile,10.1109/pvsc43889.2021.9519071,2016,16,descargado,data/pdfs/116.pdf,
117,A novel modulation technique for asymmetric multi-cell inverters of 27-level without regeneration,10.1109/iecon.2012.6388821,2012,16,descargado,data/pdfs/117.pdf,
118,Discrete nonlinear control based on a double dq transform of a multi-cell UPQC,10.1109/iecon.2011.6119989,2011,16,descargado,data/pdfs/118.pdf,
119,Modeling issues in three-phase current source rectifiers that use damping resistors,10.1109/isie.2006.295816,2006,16,descargado,data/pdfs/119.pdf,
120,Input current harmonics in a regenerative multicell inverter with single phase active rectifiers,10.1109/ichqp.2002.1221428,2002,16,descargado,data/pdfs/120.pdf,
121,Compensated carrier PWM synchronization: a novel method to achieve self-regulation and AC unbalance compensation in AC fed converters,10.1109/63.136252,1992,16,descargado,data/pdfs/121.pdf,
321,Hybrid Transformers with Virtual Inertia for Future Distribution Networks,10.1109/iecon.2019.8926954,2019,16,descargado,data/pdfs/321.pdf,
123,High dynamic and static performance FCS-MPC strategy for static power converters,10.1109/ecce.2016.7855146,2016,15,descargado,data/pdfs/123.pdf,
124,Switching losses analysis of an asymmetric multilevel Shunt Active Power Filter,10.1109/iecon.2013.6700565,2013,15,descargado,data/pdfs/124.pdf,
125,A robust PLL algorithm to synchronize static power converters with polluted ac systems,10.1109/iecon.2006.348068,2006,15,descargado,data/pdfs/125.pdf,
126,Analysis and design of a single-phase PWM current source rectifier with neutral leg,10.1109/iecon.1998.724297,1998,15,descargado,data/pdfs/126.pdf,
127,Space vector modulation techniques for current source rectifiers operating at switching frequencies up to 1 kHz,10.1109/iecon.1998.724301,1998,15,descargado,data/pdfs/127.pdf,
128,State variable decoupling and power flow control in PWM current source rectifiers,10.1109/iecon.1995.483491,1995,15,descargado,data/pdfs/128.pdf,
129,DSP based space vector PWM pattern generators for current source rectifiers and inverters,10.1109/ccece.1995.526592,1995,15,descargado,data/pdfs/129.pdf,
130,Modeling and Control of a Hybrid Transformer based on a Cascaded H-bridge Multilevel Converter,10.1109/iecon43393.2020.9254365,2020,14,descargado,data/pdfs/130.pdf,
131,Operating region of a power cell in a CHB based topology operating at reduced second harmonic,10.1109/iecon.2016.7793955,2016,14,descargado,data/pdfs/131.pdf,
132,Grid connected PV system with maximum power point estimation based on reference cells,10.1109/iecon.2015.7392734,2015,14,descargado,data/pdfs/132.pdf,
133,Finite control set model predictive control with reduced switching frequency applied to multi-cell rectifiers,10.1109/icit.2015.7125431,2015,14,descargado,data/pdfs/133.pdf,
134,Voltage regulation in mine power distribution systems: Problems and solutions,10.1109/ias.2014.6978453,2014,14,descargado,data/pdfs/134.pdf,
135,PWM control techniques in current source rectifiers,10.1109/iecon.1993.339239,1993,14,descargado,data/pdfs/135.pdf,
322,A predictive control scheme for a single-phase grid-supporting quasi-z-source inverter and its integration with a frequency support strategy,10.1109/access.2023.3236499,2023,14,descargado,data/pdfs/322.pdf,
136,Shortest horizon FCS-MPC output voltage tracking in non-minimum phase boost-type converters,10.1109/iecon.2019.8927508,2019,13,descargado,data/pdfs/136.pdf,
137,An efficiency comparison between a 18 pulses diode rectifier and a multi-cell AFE rectifier operating with FCS—MPC,10.1109/iecon.2014.7048657,2014,13,descargado,data/pdfs/137.pdf,
138,A new modulation technique for 15-level asymmetric inverter operating with minimum THD,10.1109/iecon.2013.6700149,2013,13,descargado,data/pdfs/138.pdf,
139,Concepts of decoupled control for a shunt active filter based on multilevel current source converters,10.1109/isie.2010.5637417,2010,13,descargado,data/pdfs/139.pdf,
140,An integrated three-phase voltage regulated current source inverter topology,10.1109/isie.1993.268725,1993,13,descargado,data/pdfs/140.pdf,
324,A Method to Evaluate Cycloconverters Commutation Robustness Under Voltage and Frequency Variations in Mining Distribution Systems,10.1109/tia.2017.2750115,2018,13,descargado,data/pdfs/324.pdf,
141,A novel simplified implementation of finite-set model predictive control for power converters,10.1109/access.2021.3094864,2021,12,descargado,data/pdfs/141.pdf,
142,Distribution network hybrid transformer for load current and grid voltage compensation,10.1109/iecon.2019.8927593,2019,12,descargado,data/pdfs/142.pdf,
143,An operating condition-based scheme to alternate between control strategies for improved steady-state and transient behavior,10.1109/tii.2015.2481791,2015,12,descargado,data/pdfs/143.pdf,
144,Multi-cell topology based on voltage-source converters with a reduced DC Capacitor by means of a predictive control scheme,10.1109/iecon.2012.6388764,2012,12,descargado,data/pdfs/144.pdf,
145,Unified Power Quality Conditioner based on current source converters for harmonic mitigation using a decoupled control strategy,10.1109/iecon.2011.6119992,2011,12,descargado,data/pdfs/145.pdf,
146,Refined control of an unified power quality conditioner under nonlinear and asymmetrical loads,10.1109/isie.2010.5636325,2010,12,descargado,data/pdfs/146.pdf,
147,Improvement issues on the input filter design for PWM-CSR that are SHE modulated,10.1109/pesc.2005.1581667,2005,12,descargado,data/pdfs/147.pdf,
325,Nonlinear control strategy for current source cascaded H-bridge inverters — An approach considering single-phase DQ components,10.1109/icit.2015.7125553,2015,12,descargado,data/pdfs/325.pdf,
148,Electrical energy consumption characterization of open-pit mining and mineral processing operations towards the use of renewable energy sources,10.1109/ias.2019.8911978,2019,11,descargado,data/pdfs/148.pdf,
149,On the control of a grid-connected photovoltaic plant under non-uniform insolation,10.1109/iecon.2014.7049351,2014,11,descargado,data/pdfs/149.pdf,
150,On the DC inductors size reduction in a multi-cell topology based on current source converters by means of magnetic couplings,10.1109/iecon.2013.6700167,2013,11,descargado,data/pdfs/150.pdf,
151,Improved control scheme towards reduced DC link inductors in a Multi-Cell Topology based on Current Source Converters,10.1109/iecon.2012.6388775,2012,11,descargado,data/pdfs/151.pdf,
152,Design of a discrete-time linear control scheme for a modular UPQC,10.1109/isie.2010.5637590,2010,11,descargado,data/pdfs/152.pdf,
153,A new hybrid filter topology for sub and inter-harmonic attenuation in cycloconverter-fed drives applications,10.1109/ias.2009.5324933,2009,11,descargado,data/pdfs/153.pdf,
154,A modular approach for integrating harmonic cancellation in a multi-cell based UPQC,10.1109/iecon.2008.4758469,2008,11,descargado,data/pdfs/154.pdf,
156,Capacitor voltage ripple control based on decoupled power analysis in MMC,10.1109/cpe.2017.7915230,2017,10,descargado,data/pdfs/156.pdf,
157,Finite control set-model predictive control applied to multicell rectifiers,10.1109/iecon.2013.6700085,2013,10,descargado,data/pdfs/157.pdf,
158,Application of fuzzy decision making to the switching state selection in the predictive control of a direct matrix converter,10.1109/iecon.2011.6120010,2011,10,descargado,data/pdfs/158.pdf,
159,A predictive shortest-horizon voltage control algorithm for non-minimum phase three-phase rectifiers,10.1109/access.2022.3212731,2022,9,descargado,data/pdfs/159.pdf,
160,Topologies and control strategies of partial power dc/dc converters for photovoltaic systems,10.1109/iecon48115.2021.9589800,2021,9,descargado,data/pdfs/160.pdf,
161,Study of reactive power compensation capabilities and LC filter design for a three-phase current-source STATCOM,10.1109/ica-acca.2018.8609717,2018,9,descargado,data/pdfs/161.pdf,
162,Selective harmonic elimination for a 27-level asymmetric multilevel converter,10.1109/eeeic.2017.7977626,2017,9,descargado,data/pdfs/162.pdf,
163,Predictive current control of a four-leg indirect matrix converter with imposed source currents and common-mode voltage reduction,10.1109/ecce.2013.6647420,2013,9,descargado,data/pdfs/163.pdf,
164,Systematic design comparison of discrete-time linear controllers for a DSTATCOM,10.1109/isie.2010.5637420,2010,9,descargado,data/pdfs/164.pdf,
165,Modeling and control of a high voltage direct current power transmission system based on active voltage source converters,10.1109/iecon.2004.1433420,2004,9,descargado,data/pdfs/165.pdf,
166,A high performance voltage-regulated CSI AC induction motor drive,10.1109/apec.1994.316357,1994,9,descargado,data/pdfs/166.pdf,
326,Bidirectional power flow control of a single-phase current-source grid-tie battery energy storage system,10.1109/isie.2015.7281673,2015,9,descargado,data/pdfs/326.pdf,
327,d-q-DC reference frame control strategy for single-phase current source cascaded inverters,10.1109/iecon.2014.7049198,2014,9,descargado,data/pdfs/327.pdf,
8,Predictive control of an indirect matrix converter,10.1109/tie.2009.2013686,2008,8,descargado,data/pdfs/8.pdf,
167,A novel global maximum power point tracking method based on measurement cells,10.1109/access.2022.3205163,2022,8,descargado,data/pdfs/167.pdf,
168,Control of multilevel STATCOMs,10.1109/tie.2009.2036019,2014,8,descargado,data/pdfs/168.pdf,
169,Discrete synchronism methods for polluted single phase and unbalanced three-phase systems,10.1109/isie.2014.6864810,2014,8,descargado,data/pdfs/169.pdf,
170,A simple predictive method to estimate flicker,10.1109/tia.2013.2289951,2013,8,descargado,data/pdfs/170.pdf,
171,Asymmetric multilevel STATCOM to compensate reactive power and current harmonics,10.1109/iecon.2012.6388989,2012,8,descargado,data/pdfs/171.pdf,
172,Selecting between linear and nonlinear control in a dynamic voltage restorer,10.1109/pesc.2008.4592559,2008,8,descargado,data/pdfs/172.pdf,
173,Operating regions comparison of VSC-based custom power devices,10.1109/iecon.2006.348138,2006,8,descargado,data/pdfs/173.pdf,
174,Real-time implementation of a generalized approach for SHE and fundamental current control in current source topologies,10.1109/ciep.2000.891386,2000,8,descargado,data/pdfs/174.pdf,
176,Control of solid state transformer based on modular multilevel converters with interconnecting dual active bridges,10.1109/isie.2019.8781544,2019,7,descargado,data/pdfs/176.pdf,
177,Improvements in harmonic mitigation for multilevel AC-Drives for high power applications,10.1109/isie.2010.5637339,2010,7,descargado,data/pdfs/177.pdf,
179,Multi-level three-phase current source inverter based series voltage compensator,10.1109/pesc.2005.1581947,2005,7,descargado,data/pdfs/179.pdf,
328,Design of a virtual synchronous generator strategy for a single-phase current-source inverter,10.1109/isie.2015.7281515,2015,7,descargado,data/pdfs/328.pdf,
180,Multicell AFE Rectifier Managed by Finite Control Set–Model Predictive Control,10.1109/access.2021.3116938,2021,6,descargado,data/pdfs/180.pdf,
181,Design and implementation of a parallel-connected fault current attenuator for power distribution systems,10.1109/jestpe.2021.3081048,2021,6,descargado,data/pdfs/181.pdf,
182,Cascaded H-Bridge topologies comparison for multi-cell current-source inverters under different DC inductor size reduction methods,10.1109/iecon.2014.7049191,2014,6,descargado,data/pdfs/182.pdf,
183,Predictive torque control of a multi-drive system based on a two-stage six-leg matrix converter with unity input power factor,10.1109/powereng.2013.6635582,2013,6,descargado,data/pdfs/183.pdf,
184,Reducing harmonics and DC-Link capacitors in cascaded multilevel converters using inter-cell magnetic couplings,10.1109/iecon.2012.6389569,2012,6,descargado,data/pdfs/184.pdf,
185,Modular harmonic cancellation in a multilevel STATCOM,10.1109/iecon.2011.6119991,2011,6,descargado,data/pdfs/185.pdf,
188,Modular current source AC-Drive: A simple control scheme,10.1109/pesc.2008.4592704,2008,6,descargado,data/pdfs/188.pdf,
189,Improved performance of multi-pulse current and voltage source converters by means of a modified SHE modulation technique,10.1109/iecon.2002.1187591,2002,6,descargado,data/pdfs/189.pdf,
190,Regenerative medium-voltage AC drive based on a multi-cell arrangement with minimum energy storage requirements,10.1109/isie.2002.1025845,2002,6,descargado,data/pdfs/190.pdf,
192,Transient performance of a single-stage UPS system for single-phase trapezoidal-shaped ac voltage supplies,10.1109/apec.1997.575742,1997,6,descargado,data/pdfs/192.pdf,
193,Fast MPC algorithm for a grid tied photovoltaic system based on a multilevel inverter,10.1109/iecon.2019.8927053,2019,5,descargado,data/pdfs/193.pdf,
194,Global maximum power point tracking scheme on a partially shaded photovoltaic array,10.1109/iecon.2018.8591320,2018,5,descargado,data/pdfs/194.pdf,
195,A reactive power compensation method for a smart grid connected inverter using a residential PV lSystem,10.1109/iecon.2017.8216117,2017,5,descargado,data/pdfs/195.pdf,
196,FCS-MPC with reduced switching frequency applied to a multi-cell AFE rectifier with improved transient behavior,10.1109/iecon.2016.7794116,2016,5,descargado,data/pdfs/196.pdf,
197,Predictive voltage control with imposed source current waveforms in an indirect matrix converter,10.1109/iecon.2013.6699929,2013,5,descargado,data/pdfs/197.pdf,
198,A comprehensive control strategy for an asymmetric multilevel shunt active power filter,10.1109/icit.2013.6505711,2013,5,descargado,data/pdfs/198.pdf,
199,Comparison of CSI and VSI based modular rectifiers with magnetic AC coupling for large current and low voltage applications,10.1109/iecon.2012.6388631,2012,5,descargado,data/pdfs/199.pdf,
200,Design of modular rectifiers with magnetic AC coupling for large current and low voltage applications,10.1109/iecon.2011.6120035,2011,5,descargado,data/pdfs/200.pdf,
201,A reactive power compensator topology based on multilevel single-phase NPC converters,10.1109/icit.2010.5472519,2010,5,descargado,data/pdfs/201.pdf,
203,Analysis of a multi-cell converter under unbalanced AC source,10.1109/pesc.2005.1581752,2005,5,descargado,data/pdfs/203.pdf,
